,Unnamed: 0,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1328,1329,NFL Street,XB,2004,unknown,Electronic Arts,490000,150000,0,20000
1582,1583,SingStar Singalong With Disney,PS2,2008,unknown,Sony Computer Entertainment,0,40000,0,570000
2497,2498,Jurassic Park III: Island Attack,GBA,2001,unknown,Konami Digital Entertainment,130000,50000,0,0
3353,3354,The Godfather: Dons Edition,PS3,2007,unknown,Electronic Arts,250000,20000,0,30000
3363,3364,Ski-Doo Snowmobile Challenge,X360,2009,unknown,Valcon Games,30000,0,0,0
3470,3471,Batman Beyond: Return of the Joker,N64,2000,unknown,Ubisoft,70000,20000,0,0
3515,3516,Princess Saver! Eternal Love for My Lady,PS2,2010,unknown,Comfort,0,0,20000,0
4349,4350,Brain Quest: Grades 5 & 6,DS,2008,unknown,Electronic Arts,110000,0,0,10000
4545,4546,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,unknown,Namco Bandai Games,390000,100000,10000,40000
4935,4936,Astonishia Story,PSP,2006,unknown,Ubisoft,30000,0,0,0
5713,5714,Back to the Future: The Game,XOne,2015,unknown,Telltale Games,0,20000,0,0
5945,5946,Medabots: Metabee,GBA,2002,unknown,Natsume,40000,10000,0,0
6798,6799,UFO: Trilogy,PC,2007,unknown,Unknown,0,20000,0,0
7143,7144,Largo Winch .// Commando Sar,PS,2002,unknown,Ubisoft,10000,10000,0,0
7526,7527,Ukiyo no Shishi,PS3,2015,unknown,Namco Bandai Games,0,0,30000,0
7797,7798,Myth Makers: Orbs of Doom,Wii,2007,unknown,Popcorn Arcade,50000,0,0,0
10432,10433,The Mummy: Tomb of the Dragon Emperor,Wii,2008,unknown,Vivendi Games,80000,0,0,10000
10501,10502,Bakemonogatari Portable,PSP,2012,unknown,Namco Bandai Games,0,0,50000,0
10874,10875,Karaoke Revolution Glee: Volume 3,Wii,2011,unknown,Konami Digital Entertainment,240000,40000,0,20000
11050,11051,Puppy Palace,DS,2008,unknown,Ubisoft,350000,0,0,30000
11268,11269,Cloudy With a Chance of Meatballs,PS3,2009,unknown,Ubisoft,90000,10000,0,10000
11668,11669,The History Channel: Battle for the Pacific,Wii,2007,unknown,Activision,100000,0,0,10000
11699,11700,Time Travelers,PSV,2012,unknown,Level 5,0,0,50000,0
12314,12315,Ice Hockey,2600,1980,unknown,Activision,460000,30000,0,10000
12340,12341,Virtual Chess 64,N64,1998,unknown,Titus,50000,10000,0,0
12870,12871,PQ2: Practical Intelligence Quotient,PSP,2006,unknown,D3Publisher,40000,0,0,0
12982,12983,Urban Chaos,PS,1999,unknown,Eidos Interactive,60000,40000,0,10000
13348,13349,Treasure Report: Kikai Jikake no Isan,DS,2011,unknown,Namco Bandai Games,0,0,50000,0
15077,15078,Myth Makers: Super Kart GP,Wii,2007,unknown,Popcorn Arcade,10000,0,0,0
15211,15212,James Bond 007: Nightfire,XB,2002,unknown,Electronic Arts,580000,220000,0,30000
16091,16092,Brain Boost: Beta Wave,DS,2005,unknown,505 Games,140000,0,0,10000
16431,16432,Cars: Mater-National Championship,X360,2007,unknown,THQ,130000,0,0,10000
16555,16556,Apache: Air Assault,PC,2010,unknown,Just Flight,0,30000,0,10000
16,17,Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,10000,20000,0,10000
19,20,Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0,20000,0,0
36,37,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,300000,30000,40000,30000
41,42,Knights of Honor,PC,2004,Strategy,Sunflowers,0,20000,0,10000
70,71,Command & Conquer,N64,1999,Strategy,Nintendo,220000,50000,0,0
74,75,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,10000,120000,0,30000
82,83,Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0,0,140000,10000
102,103,Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0,0,130000,0
136,137,Super Robot Taisen XO,X360,2006,Strategy,Banpresto,0,0,10000,0
148,149,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0,0,600000,0
174,175,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0,0,80000,0
178,179,SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0,0,340000,0
186,187,Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,10000,0,0,0
191,192,Carnage Heart EXA,PSP,2010,Strategy,ArtDink,0,0,20000,0
198,199,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,0,0,10000,0
218,219,Company of Heroes,PC,2006,Strategy,THQ,0,40000,0,10000
228,229,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Strategy,Namco Bandai Games,0,0,30000,0
231,232,Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,Tecmo Koei,40000,30000,0,10000
241,242,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,140000,50000,10000,20000
277,278,Panzer Tactics,DS,2007,Strategy,10TACLE Studios,60000,0,0,0
280,281,Warhammer: Dark Omen,PS,1998,Strategy,Electronic Arts,20000,10000,0,0
281,282,Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0,0,150000,0
379,380,Wrath Unleashed,PS2,2004,Strategy,LucasArts,40000,30000,0,10000
